time,force_r_x,force_r_y,cop_r_x,force_l_x,force_l_y,cop_l_x
0.0,-7.480023939569394,6.244628535423633,0.3284015150263573,133.91066167243704,1046.2272263351156,-0.41212987819583174
0.01,11.487740759271151,50.57304980123805,0.2935897376357959,146.7407930528166,1037.7319355092418,-0.3991091240888167
0.02,27.278764081398148,113.16911116007424,0.30172277726105784,159.69374554037302,1036.583664268874,-0.4042638854603102
0.03,31.791655659764235,201.08091663809725,0.30239125547630635,175.16525245237543,960.5363028602212,-0.39448939223965795
0.04,13.638391126249763,292.023655058175,0.3221275706802239,182.4943891411852,926.453032968837,-0.3896322985007185
0.05,-6.053274502371461,383.2743318945846,0.31612549917512417,190.3944128583713,840.1114197382022,-0.3846743084710553
0.06,-36.85223054154796,510.2904966725345,0.2904608574596473,185.811015361534,732.7817762171205,-0.37000704396356154
0.07,-69.12774717399199,595.6819815452561,0.26593639341672426,174.45818135373682,620.3215644697004,-0.36362744422701976
0.08,-93.29526544998227,695.5337741969712,0.24446958591445997,149.20266706842986,485.3033923195765,-0.3366314263933147
0.09,-114.51358283425945,783.9196838924252,0.22420233931048014,113.1982701418636,366.6820980229248,-0.32485707823040294
0.1,-129.65027547988234,840.0736784506355,0.20294763257286821,75.35174542107417,228.21912841893143,-0.28049202601720397
0.11,-139.95229360436255,909.5470376625215,0.1991594688688585,24.36856744867466,116.06518807582938,-0.2472790629323649
0.12,-147.24761469901415,954.2738043795594,0.1854657737376319,-2.3894286534268026,2.423058235440847,0.0029790974229744194
0.13,-144.94122417708044,1008.5996132206478,0.18121951226486133,-0.032926742468270154,-7.700332933685058,0.08395682409250074
0.14,-146.1013886742825,1030.5305743267838,0.17854795046266458,-0.5068476250766597,8.248893412489522,0.5822302958191092
0.15,-140.57368431573084,1070.4450661699748,0.1826030533450501,-0.16835625423255407,0.6233333249403963,-0.3105419709084887
0.16,-129.36687357406387,1081.3145546212913,0.17066025557365017,0.35307640366149584,-10.466470112659982,-0.14264609551731933
0.17,-125.21760527840654,1088.6436498983546,0.17382440424244128,0.9736650243263948,13.203024932514397,-0.11827656349545797
0.18,-112.19502325209722,1068.9453711167123,0.17220020835373198,-1.6655335852326405,-9.778122729898818,-0.14041758458868908
0.19,-102.76903793393414,1072.9263990323186,0.15999051056031566,1.1997651370954705,5.051964586190877,-0.33401080110042375
0.2,-93.34882448315106,1024.1135849471038,0.14934694492285883,0.6011836205906179,-3.7872058216339717,0.8099570135454118
0.21,-86.25249265209199,990.334209254637,0.14009189991487986,-1.8362788418849656,4.704262725508582,0.302887161852366
0.22,-74.80721593276111,978.2125560366115,0.12323236510628138,0.46069863871331607,-2.9636341667840522,0.2520605635321508
0.23,-69.63235317289268,914.935984488027,0.11925937469979139,0.9167667508964172,-1.45788827238116,0.24073558144409032
0.24,-60.669968026451386,898.7102926373748,0.1234589478288704,-2.9359226056554886,9.050138310520191,0.25412880927800946
0.25,-52.34684427409106,878.085224874349,0.12555584314915283,0.6382818365534251,-12.165311632537811,0.26139206393958897
0.26,-46.476975603260335,837.5017777049533,0.11895392182845754,-0.5619881899827375,14.211147743552441,0.28605522663451133
0.27,-40.97881468572562,823.8319795565607,0.12764846981183192,-2.2796207753583007,-8.720683006118486,0.2981255779850339
0.28,-35.47304120844733,816.9124076254276,0.13386846072684427,-1.2834104130392059,6.054339240434392,0.3228989597474044
0.29,-32.93580927661249,796.2861320994688,0.11994370713998048,-1.2838693731808233,3.014235721429995,0.34884290154825737
0.3,-27.047889345883696,794.8886365648636,0.13989311059797366,-3.182462924928664,-1.974937437080941,0.36006491285593517
0.31,-27.257148325751725,797.6325223182018,0.1341354467222204,-4.559067555432996,9.18724524809728,0.39614364435355875
0.32,-19.880924185910214,803.9926987566249,0.13459645029779843,-4.43733304625821,2.028358210118436,0.4070261204228562
0.33,-17.951343170671798,796.4911518136046,0.1415916151412273,-9.650027386182687,11.395344534868311,0.4362264786762228
0.34,-12.754933494443335,828.7878478979106,0.1445094115141436,-11.765831602379885,8.233689671590426,0.4574103630304988
0.35000000000000003,-5.53920662311062,830.0643684649444,0.1437935125883702,-8.502489715000936,13.892563487660446,0.4959514667506685
0.36,0.031514132039654086,846.9689908091171,0.14436172994301114,-5.609730478506293,1.4258009625138381,0.5363721417619355
0.37,7.75066728660136,877.2955123513087,0.1586248103329616,-3.8662008031546513,3.4189493390028636,0.6224261829528159
0.38,15.304068153335816,885.4831820531665,0.14244179116489697,-2.214241056877426,7.76474447427485,0.7141179108531713
0.39,24.2585085085931,915.2814891702592,0.1594165264784045,-1.8674180525777668,-5.763824243900903,0.7822447905197644
0.4,32.05171559014012,934.4530136226184,0.1567393850851016,-3.625375568723477,9.296211861118593,0.8296912603923583
0.41000000000000003,44.5725062804888,953.9343929958075,0.15116389952292345,-3.638907373166788,2.3805115374352885,0.8642463228647833
0.42,54.88939153101038,989.9238204739394,0.16575863720221004,-2.3044477897697275,-1.1433014683263751,0.8880457833011056
0.43,67.14522224581987,983.5925242151725,0.15415668100618996,-4.915765429506368,12.060803513705082,0.9042655400950897
0.44,77.51237139615026,1039.0301628584155,0.1639152916059592,-5.923069396621993,-2.9496099814659313,0.9208265387729112
0.45,89.33751911472402,1020.4328968331216,0.16519161118935563,-3.69408695319792,11.311431348587291,0.9296084639971727
0.46,103.66971862246733,1051.9801138620269,0.15954020386371387,-9.605554048122638,6.40162594338407,0.9382398119317814
0.47000000000000003,114.51572906669084,1060.38638401898,0.17705216264269893,-11.445146308725139,9.86499773816486,0.9446963532953372
0.48,131.1249743844458,1041.6469997422582,0.16180900083047525,-8.085739453688468,20.534038411430185,0.9233673177384936
0.49,142.46108917497702,1061.8462008092927,0.1801078203622069,6.408304485665911,36.465755897532155,0.8656634872996912
0.5,156.26706383328235,1016.8549769164912,0.1774126188361224,21.906335240220947,92.42535992926598,0.8844856631485561
0.51,171.1776892611317,994.62772365389,0.177902162208217,32.501439340284165,175.84194868308848,0.8819970686277395
0.52,179.8784209796385,941.7599497443301,0.1928113342034717,20.242386939861454,257.34767105287904,0.8961593423056591
0.53,189.65137259022092,859.0148464734831,0.19126746287090104,0.48833850744264684,370.43324879343504,0.9017043207806996
0.54,189.17649936561415,774.127334997534,0.20283216390283593,-28.191425021537626,451.50918196176127,0.8771341758326676
0.55,178.62417090692054,653.7305074551016,0.2168380902909616,-57.73697172513137,588.6941494737979,0.855761561738412
0.56,159.0558069660313,531.8433603924022,0.23271805465105772,-88.82778658983969,663.817188155741,0.8274429913123703
0.5700000000000001,128.60677410144194,386.0181995084254,0.2477516061803669,-110.47065560682859,751.8578922532729,0.808748968827684
0.58,82.00790435166417,284.65188692218726,0.29061958667752175,-121.60803756435877,837.7767831633213,0.7915405087502391
0.59,46.288518281346796,154.9254415551595,0.319711564544121,-142.76321217538128,880.5867368350342,0.777929321592067
0.6,-6.614146276632154,-5.201355110128577,0.5791212398395452,-143.449595822763,947.4278964922873,0.7681143458330937
0.61,-0.873959179276772,16.818766561621953,0.6373409641759978,-144.7254913826483,990.3398161427584,0.7646918561581523
0.62,1.0595074890755025,-12.598869429935377,0.8842021002628833,-149.75017744827824,1029.6800719195564,0.7594050610026442
0.63,-0.4514366201981875,3.965147861457179,0.1380874379337374,-139.64428301660283,1053.1455198051124,0.7610845298998856
0.64,-0.4228546711177774,1.603059573782657,0.41937728742880515,-133.92498797714262,1089.5209237940207,0.7534077621308681
0.65,0.6636838721628794,-1.2874187787557825,0.4644128167248372,-126.72657138510343,1074.8365431870645,0.7575310447290743
0.66,0.6868414915813348,-1.4578441445363346,0.45297890361969695,-116.63283667627647,1091.6804912597308,0.749976721568796
0.67,-1.5764372536596687,-0.07503753673656838,0.3448769508368309,-104.37621666294483,1058.3108525305279,0.7429671997947337
0.68,1.648201707032788,4.97135074348549,2.972731109270863,-96.24897899771265,1049.3106303018305,0.7391823777328002
0.6900000000000001,-0.9102287993163819,-7.132511698159427,0.9217090569877918,-90.28456500145812,998.8349260622404,0.7199798708301465
0.7000000000000001,-0.23368232169644879,2.398420881110397,0.8429200360256106,-74.40452473213881,977.6668462972253,0.7062727867213952
0.71,-0.16184306334041956,7.680058288454439,0.8225664443509413,-74.13019509026297,939.3111476451404,0.7040556404309712
0.72,-0.6577268257725231,-12.622170440956836,0.8252036439572921,-62.454940820818656,901.3579282177138,0.702644481721353
0.73,-0.33821384494024204,11.193028042394367,0.8434342685523599,-54.84621425793935,882.3214610758986,0.6963320885919114
0.74,-1.678583338585391,-1.8204700592868686,0.8536318410519929,-46.91224125021599,853.0377374254144,0.7106433495744163
