time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l
0.17,0.20400000000000001,0.03623174683612461,0.0016688095489185316,0.19094238876466146,-0.3232588504139652,0.10829472073888602,0.12049477053294474,-1.0098447906327965,-0.31059449339142975
0.18,0.216,0.03715512312778854,0.0014183372182351697,0.17507811571743234,-0.3161205499751527,0.11554299340690218,0.149181919854222,-1.051243661852121,-0.29349986767356856
0.19,0.22799999999999998,0.03819967251650306,0.00102354233586957,0.15838179109747932,-0.3066644251731713,0.12067297097472839,0.17645456599201326,-1.0848424502164522,-0.270684635185428
0.2,0.24,0.03936761142924939,0.0005240585599074462,0.141117516902602,-0.2954097268001511,0.12312540279093373,0.2016713005279252,-1.108466687231207,-0.24517566717284686
0.21,0.252,0.04064752365379078,-6.605587511581739e-06,0.12359544093813656,-0.283101054708587,0.12285993555138144,0.22413202033711704,-1.1204433914035834,-0.21708199608199916
0.22,0.264,0.04199137284128025,-0.0005952133250508537,0.10636091644973643,-0.27089556022065553,0.12158450129194598,0.2441491723653131,-1.1215439953173396,-0.18915588918413656
0.23,0.276,0.04334803555748505,-0.0012401485452330542,0.08947912269207774,-0.25912771520715006,0.1207194682277213,0.26199281525183377,-1.1130749538812734,-0.1610515851930088
0.24,0.288,0.04466705649023582,-0.0019669313516200507,0.07292121445433454,-0.24768895462574866,0.12021687642061654,0.2780332721464185,-1.0965124830123962,-0.13280767168042665
0.25,0.3,0.045911087562345416,-0.0028328454608638563,0.05678185572518879,-0.23656886405059008,0.11968075948846092,0.29252139867099547,-1.072427075971276,-0.10807900720284465
0.26,0.312,0.047027762443139866,-0.003889111135316308,0.04110091579136422,-0.22571110483085202,0.11905016350688898,0.3060077032793776,-1.0428355620413348,-0.08567714643766651
0.27,0.324,0.04797751217932735,-0.0051598985739407755,0.025873243935446367,-0.21507188084736462,0.11837746091211444,0.3186778879284351,-1.008992709228298,-0.06180677393324222
0.28,0.336,0.04875224603996145,-0.006674440454269277,0.011110922970363592,-0.20461232631751453,0.11762377400543181,0.33050575152136724,-0.9702397840744627,-0.045105768596738996
0.29,0.348,0.049321760751602585,-0.008525120659280848,-0.002827330503226782,-0.19482800000561193,0.11704155486498186,0.34150815181283106,-0.9273348758060596,-0.028622183971424353
0.3,0.36,0.049678472570764666,-0.010784543904556772,-0.015756950630881384,-0.18591216937639174,0.11676363125862664,0.3519727091121818,-0.8806582489171043,-0.018213398910870624
0.31,0.372,0.04981955951371453,-0.01344688411847886,-0.02769066616652932,-0.17791299428415708,0.1169294535812321,0.36157557789295525,-0.8302862962387219,-0.007701369227066837
0.32,0.384,0.04975989844141621,-0.01650721234583998,-0.03862821293270321,-0.17087736033662485,0.11755243875587063,0.3698161140443501,-0.7749794272454064,-0.00019598775475689309
0.33,0.396,0.049509175926370795,-0.01994394327932097,-0.048595900134839116,-0.164845838875243,0.11864684838231924,0.37624587914628144,-0.7141758035883695,0.005244625483469419
0.34,0.40800000000000003,0.04907125159909396,-0.023731354856089577,-0.05760978211179698,-0.15988045992128894,0.12025434062471065,0.3809025043645898,-0.6484800308033168,0.007297221199161717
0.35000000000000003,0.42000000000000004,0.04844932747188773,-0.027728976221022085,-0.0659434893839598,-0.1558464999755515,0.12236606960679097,0.3836527741110774,-0.5784710360680567,0.005003788814967537
0.36,0.432,0.047654074460661,-0.03182064434012011,-0.07376170662921792,-0.15275857485014116,0.12498003647850028,0.38408345388675585,-0.5036894541858044,-0.0020636475616129506
0.37,0.444,0.04668124378934148,-0.035768300572256315,-0.08142431306779968,-0.1505779289959685,0.12814399354607298,0.38216641244394206,-0.4262282675500693,-0.006696063515969024
0.38,0.45599999999999996,0.04554549765292713,-0.03926969160917092,-0.08933699716296868,-0.14930300900364452,0.13176312468567186,0.37786772492582976,-0.3482091027194301,-0.009723828629740762
0.39,0.46799999999999997,0.04426497623346005,-0.042183737476190586,-0.09751699970233535,-0.14923595559175917,0.13577136652172692,0.371956358465221,-0.27318358336827103,-0.010215100639067455
0.4,0.48,0.04287291642074861,-0.0443700060317935,-0.10597217934356816,-0.15067206336706504,0.13997409744047107,0.3650368096855986,-0.2041843394052681,-0.008438454530739142
0.41000000000000003,0.492,0.04140712675896665,-0.04570856402149572,-0.11471241950622858,-0.15384568518871863,0.144126110132589,0.35766403977968925,-0.14406135759874322,-0.002045674150070107
0.42,0.504,0.039912690619459984,-0.04617302749223199,-0.12361114987820908,-0.15899287471706525,0.1479314683150524,0.35044773805793156,-0.09493410364603122,0.0067676672497522196
0.43,0.516,0.03843149575857898,-0.0458227066960134,-0.1324229714650575,-0.16636114505686947,0.15111847859648084,0.3440222885944165,-0.05850759798096213,0.016639398163043082
