time,marker_marker_hip_r_x,marker_marker_hip_r_y,marker_marker_hip_r_z,marker_marker_hip_l_x,marker_marker_hip_l_y,marker_marker_hip_l_z,marker_marker_shoulder_r_x,marker_marker_shoulder_r_y,marker_marker_shoulder_r_z,marker_marker_shoulder_l_x,marker_marker_shoulder_l_y,marker_marker_shoulder_l_z,marker_marker_knee_r_x,marker_marker_knee_r_y,marker_marker_knee_r_z,marker_marker_ankle_r_x,marker_marker_ankle_r_y,marker_marker_ankle_r_z,marker_marker_heel_r_x,marker_marker_heel_r_y,marker_marker_heel_r_z,marker_marker_toe_r_x,marker_marker_toe_r_y,marker_marker_toe_r_z,marker_marker_knee_l_x,marker_marker_knee_l_y,marker_marker_knee_l_z,marker_marker_ankle_l_x,marker_marker_ankle_l_y,marker_marker_ankle_l_z,marker_marker_heel_l_x,marker_marker_heel_l_y,marker_marker_heel_l_z,marker_marker_toe_l_x,marker_marker_toe_l_y,marker_marker_toe_l_z
0.11,0.1530435,0.95047516,0.031666666,0.1530435,0.95047516,-0.031666666,0.18601644,1.5626285,0.05277778,0.18601644,1.5626285,-0.05277778,0.26933005,0.5601316,0.02111111,0.26593092,0.08885664,0.02111111,0.18000048,0.024571758,0.015833333,0.4229712,0.043332465,0.015833333,0.13133551,0.53835166,-0.02111111,-0.17020383,0.17155701,-0.02111111,-0.27350467,0.19808236,-0.015833333,-0.12733531,0.0030919611,-0.015833333
0.12,0.16507897,0.95117444,0.031666666,0.16507897,0.95117444,-0.031666666,0.19736657,1.5633643,0.05277778,0.19736657,1.5633643,-0.05277778,0.27720672,0.5594878,0.02111111,0.265793,0.08822954,0.02111111,0.17930658,0.024733346,0.015833333,0.4223507,0.042517602,0.015833333,0.1553706,0.53917253,-0.02111111,-0.15320095,0.17807764,-0.02111111,-0.25455666,0.21014857,-0.015833333,-0.12326029,0.004848838,-0.015833333
0.13,0.17711276,0.9518055,0.031666666,0.17711276,0.9518055,-0.031666666,0.20874768,1.5640293,0.05277778,0.20874768,1.5640293,-0.05277778,0.28464222,0.5586872,0.02111111,0.26570404,0.087593585,0.02111111,0.17874768,0.024789486,0.015833333,0.42184073,0.041892357,0.015833333,0.1797232,0.54026985,-0.02111111,-0.13656865,0.18580717,-0.02111111,-0.23639433,0.22183648,-0.015833333,-0.11524835,0.010388181,-0.015833333
0.14,0.1891411,0.95242226,0.031666666,0.1891411,0.95242226,-0.031666666,0.22022778,1.5646741,0.05277778,0.22022778,1.5646741,-0.05277778,0.29159054,0.55778795,0.02111111,0.26570868,0.08698231,0.02111111,0.17835873,0.024780255,0.015833333,0.42148334,0.04142812,0.015833333,0.20434207,0.5417236,-0.02111111,-0.11973843,0.1943649,-0.02111111,-0.21849026,0.23316263,-0.015833333,-0.10359487,0.018253863,-0.015833333
0.15,0.20115753,0.95307237,0.031666666,0.20115753,0.95307237,-0.031666666,0.23192655,1.5653404,0.05277778,0.23192655,1.5653404,-0.05277778,0.29808238,0.55686855,0.02111111,0.26590285,0.08644417,0.02111111,0.17821464,0.02477568,0.015833333,0.42136335,0.041068025,0.015833333,0.22923669,0.5436119,-0.02111111,-0.10195395,0.20313779,-0.02111111,-0.19993083,0.24397357,-0.015833333,-0.08900334,0.0269901,-0.015833333
0.16,0.21316464,0.95378894,0.031666666,0.21316464,0.95378894,-0.031666666,0.24379565,1.5660639,0.05277778,0.24379565,1.5660639,-0.05277778,0.30408213,0.55596936,0.02111111,0.26625276,0.08599493,0.02111111,0.17827274,0.024798952,0.015833333,0.4214412,0.04079404,0.015833333,0.25419,0.5459628,-0.02111111,-0.0831413,0.21178982,-0.02111111,-0.18061735,0.25404105,-0.015833333,-0.071786016,0.035998687,-0.015833333
0.17,0.22516392,0.95460033,0.031666666,0.22516392,0.95460033,-0.031666666,0.25580886,1.5668746,0.05277778,0.25580886,1.5668746,-0.05277778,0.30958468,0.55513775,0.02111111,0.2667481,0.085659355,0.02111111,0.17850769,0.024891179,0.015833333,0.42169666,0.04057067,0.015833333,0.27897835,0.5487751,-0.02111111,-0.06313968,0.21980259,-0.02111111,-0.16033,0.2629629,-0.015833333,-0.05230439,0.0445202,-0.015833333
0.18,0.237156,0.95551836,0.031666666,0.237156,0.95551836,-0.031666666,0.26795432,1.5677849,0.05277778,0.26795432,1.5677849,-0.05277778,0.3146243,0.5544157,0.02111111,0.26739264,0.08546063,0.02111111,0.17890562,0.025096059,0.015833333,0.42212135,0.040355254,0.015833333,0.30338618,0.55200714,-0.02111111,-0.041944027,0.22674909,-0.02111111,-0.13914879,0.27016747,-0.015833333,-0.030221406,0.052173108,-0.015833333
0.19,0.24914351,0.9565546,0.031666666,0.24914351,0.9565546,-0.031666666,0.28018352,1.5688089,0.05277778,0.28018352,1.5688089,-0.05277778,0.31921425,0.55383795,0.02111111,0.2681641,0.085419774,0.02111111,0.17942739,0.025455639,0.015833333,0.4226806,0.04010553,0.015833333,0.32704905,0.5555573,-0.02111111,-0.019610822,0.23204648,-0.02111111,-0.11728069,0.274775,-0.015833333,-0.004859112,0.058561847,-0.015833333
0.2,0.2611277,0.957712,0.031666666,0.2611277,0.957712,-0.031666666,0.29247352,1.5699508,0.05277778,0.29247352,1.5699508,-0.05277778,0.32348436,0.5534542,0.02111111,0.2691047,0.08557671,0.02111111,0.18007894,0.026058767,0.015833333,0.4233895,0.03972175,0.015833333,0.34971142,0.5593054,-0.02111111,0.004013896,0.23502526,-0.02111111,-0.09451318,0.27612534,-0.015833333,0.023619656,0.06297898,-0.015833333
0.21,0.2731109,0.9589807,0.031666666,0.2731109,0.9589807,-0.031666666,0.30478162,1.5712028,0.05277778,0.30478162,1.5712028,-0.05277778,0.32760176,0.5532981,0.02111111,0.27023134,0.08596304,0.02111111,0.1808545,0.026971843,0.015833333,0.42424282,0.039172407,0.015833333,0.3711156,0.5630945,-0.02111111,0.028976738,0.23520017,-0.02111111,-0.07078502,0.2736101,-0.015833333,0.05536995,0.0651115,-0.015833333
0.22,0.28509226,0.9603121,0.031666666,0.28509226,0.9603121,-0.031666666,0.31712332,1.5725154,0.05277778,0.31712332,1.5725154,-0.05277778,0.33179522,0.55336404,0.02111111,0.27150276,0.08658451,0.02111111,0.181745,0.0281659,0.015833333,0.4252116,0.03868848,0.015833333,0.39139932,0.56683314,-0.02111111,0.055356503,0.23270693,-0.02111111,-0.04583846,0.26754835,-0.015833333,0.08982203,0.065105885,-0.015833333
0.23,0.2970718,0.9616552,0.031666666,0.2970718,0.9616552,-0.031666666,0.3294977,1.5738376,0.05277778,0.3294977,1.5738376,-0.05277778,0.3360975,0.5535999,0.02111111,0.2728349,0.08739811,0.02111111,0.18270802,0.029544793,0.015833333,0.426239,0.038454477,0.015833333,0.41069227,0.57044363,-0.02111111,0.0831075,0.22792643,-0.02111111,-0.01960449,0.2583766,-0.015833333,0.12674046,0.06351797,-0.015833333
0.24,0.30904877,0.96295893,0.031666666,0.30904877,0.96295893,-0.031666666,0.34191957,1.5751176,0.05277778,0.34191957,1.5751176,-0.05277778,0.340488,0.5539459,0.02111111,0.27422976,0.08834332,0.02111111,0.18374653,0.031045504,0.015833333,0.42732918,0.038408943,0.015833333,0.42915246,0.57387483,-0.02111111,0.1121999,0.22132388,-0.02111111,0.008018933,0.24665736,-0.015833333,0.16580734,0.060943738,-0.015833333
0.25,0.32102132,0.9641847,0.031666666,0.32102132,0.9641847,-0.031666666,0.3544222,1.5763148,0.05277778,0.3544222,1.5763148,-0.05277778,0.3449862,0.5543611,0.02111111,0.275729,0.08937621,0.02111111,0.18488927,0.03264158,0.015833333,0.42851418,0.03844076,0.015833333,0.44687134,0.5770806,-0.02111111,0.1427739,0.21315834,-0.02111111,0.037333466,0.2329184,-0.015833333,0.20640215,0.05741197,-0.015833333
0.26,0.33298782,0.9652792,0.031666666,0.33298782,0.9652792,-0.031666666,0.3670352,1.5773736,0.05277778,0.3670352,1.5773736,-0.05277778,0.34958994,0.55478674,0.02111111,0.27734983,0.09043583,0.02111111,0.18615386,0.034271307,0.015833333,0.42981136,0.038484376,0.015833333,0.4640659,0.58005524,-0.02111111,0.17470711,0.2040686,-0.02111111,0.06828415,0.21788773,-0.015833333,0.248301,0.0536298,-0.015833333
0.27,0.34494743,0.9662023,0.031666666,0.34494743,0.9662023,-0.031666666,0.37977266,1.578253,0.05277778,0.37977266,1.578253,-0.05277778,0.35428885,0.5551765,0.02111111,0.27908766,0.09147516,0.02111111,0.18753853,0.03588344,0.015833333,0.4312184,0.038504872,0.015833333,0.48080915,0.5827655,-0.02111111,0.2078098,0.19450909,-0.02111111,0.10071854,0.20189479,-0.015833333,0.2916489,0.050460547,-0.015833333
0.28,0.3568993,0.96694535,0.031666666,0.3568993,0.96694535,-0.031666666,0.39265144,1.5789425,0.05277778,0.39265144,1.5789425,-0.05277778,0.35907772,0.55551696,0.02111111,0.28094637,0.09247962,0.02111111,0.18904698,0.03746366,0.015833333,0.43273872,0.038483832,0.015833333,0.49708295,0.58517957,-0.02111111,0.24237055,0.18448207,-0.02111111,0.13501765,0.18547799,-0.015833333,0.33548746,0.046919063,-0.015833333
0.29,0.36884037,0.96747625,0.031666666,0.36884037,0.96747625,-0.031666666,0.4057251,1.5794063,0.05277778,0.4057251,1.5794063,-0.05277778,0.3640769,0.5557773,0.02111111,0.28295106,0.09342533,0.02111111,0.19070122,0.038994994,0.015833333,0.43439445,0.03840999,0.015833333,0.512861,0.5872405,-0.02111111,0.27813697,0.17435175,-0.02111111,0.17092614,0.16864733,-0.015833333,0.38041466,0.04414323,-0.015833333
0.3,0.3807684,0.96778595,0.031666666,0.3807684,0.96778595,-0.031666666,0.4190356,1.5796311,0.05277778,0.4190356,1.5796311,-0.05277778,0.36933833,0.555941,0.02111111,0.28512025,0.094299585,0.02111111,0.19252047,0.040464777,0.015833333,0.4362046,0.03828333,0.015833333,0.5282366,0.58896375,-0.02111111,0.3151969,0.16437277,-0.02111111,0.20853887,0.1520969,-0.015833333,0.42570424,0.041525953,-0.015833333
0.31,0.39268342,0.96787184,0.031666666,0.39268342,0.96787184,-0.031666666,0.43257946,1.579613,0.05277778,0.43257946,1.579613,-0.05277778,0.37486076,0.5559931,0.02111111,0.2874282,0.095092595,0.02111111,0.19448137,0.041860383,0.015833333,0.43814647,0.038111847,0.015833333,0.5430832,0.59028244,-0.02111111,0.3532869,0.1547682,-0.02111111,0.24763414,0.13570397,-0.015833333,0.47179386,0.040105104,-0.015833333
0.32,0.40458554,0.9677491,0.031666666,0.40458554,0.9677491,-0.031666666,0.4463535,1.5793653,0.05277778,0.4463535,1.5793653,-0.05277778,0.38064805,0.5559369,0.02111111,0.28986067,0.09581268,0.02111111,0.19656806,0.043193318,0.015833333,0.4402045,0.037900217,0.015833333,0.55720234,0.5911145,-0.02111111,0.3925081,0.14555156,-0.02111111,0.28832603,0.11964384,-0.015833333,0.51846284,0.039495297,-0.015833333
0.33,0.4164754,0.9674278,0.031666666,0.4164754,0.9674278,-0.031666666,0.4603451,1.5788968,0.05277778,0.4603451,1.5788968,-0.05277778,0.38669932,0.55577093,0.02111111,0.2923969,0.096464396,0.02111111,0.19875816,0.04447161,0.015833333,0.44235656,0.03764895,0.015833333,0.5704247,0.591384,-0.02111111,0.43273944,0.13690811,-0.02111111,0.33053648,0.10406198,-0.015833333,0.5656667,0.04002679,-0.015833333
0.34,0.42835373,0.96691257,0.031666666,0.42835373,0.96691257,-0.031666666,0.47453898,1.578211,0.05277778,0.47453898,1.578211,-0.05277778,0.39301983,0.55548847,0.02111111,0.29501978,0.097048104,0.02111111,0.20103356,0.045698155,0.015833333,0.44458476,0.0373584,0.015833333,0.58277935,0.59109783,-0.02111111,0.473755,0.12919909,-0.02111111,0.3740159,0.08949927,-0.015833333,0.6129833,0.041736163,-0.015833333
0.35000000000000003,0.440225,0.96620953,0.031666666,0.440225,0.96620953,-0.031666666,0.48885363,1.5773184,0.05277778,0.48885363,1.5773184,-0.05277778,0.39955112,0.55508494,0.02111111,0.2976694,0.097566605,0.02111111,0.20333453,0.046876315,0.015833333,0.44682944,0.03703022,0.015833333,0.5942703,0.59025824,-0.02111111,0.5152419,0.12273529,-0.02111111,0.4183976,0.0764155,-0.015833333,0.6600097,0.044629905,-0.015833333
0.36,0.45209295,0.9653318,0.031666666,0.45209295,0.9653318,-0.031666666,0.50322163,1.5762366,0.05277778,0.50322163,1.5762366,-0.05277778,0.4062723,0.55456465,0.02111111,0.30029708,0.0980348,0.02111111,0.2056095,0.048027195,0.015833333,0.44903862,0.036669683,0.015833333,0.6047748,0.58882767,-0.02111111,0.55703604,0.11770129,-0.02111111,0.4634887,0.06503018,-0.015833333,0.7066399,0.048775196,-0.015833333
0.37,0.46396518,0.96427983,0.031666666,0.46396518,0.96427983,-0.031666666,0.5175051,1.5749781,0.05277778,0.5175051,1.5749781,-0.05277778,0.41312978,0.5539204,0.02111111,0.30281174,0.09846142,0.02111111,0.20776562,0.04916477,0.015833333,0.4511188,0.036282245,0.015833333,0.61437416,0.5868486,-0.02111111,0.5982549,0.11438435,-0.02111111,0.5085408,0.055416282,-0.015833333,0.75223476,0.05546798,-0.015833333
0.38,0.47585163,0.96307445,0.031666666,0.47585163,0.96307445,-0.031666666,0.5315295,1.5735815,0.05277778,0.5315295,1.5735815,-0.05277778,0.42007816,0.5531659,0.02111111,0.30512333,0.0988791,0.02111111,0.20970522,0.05033717,0.015833333,0.45296925,0.035868257,0.015833333,0.6231723,0.5843965,-0.02111111,0.6380272,0.11285877,-0.02111111,0.55254644,0.04790362,-0.015833333,0.79568696,0.06431699,-0.015833333
0.39,0.4877569,0.9617362,0.031666666,0.4877569,0.9617362,-0.031666666,0.5452136,1.5720783,0.05277778,0.5452136,1.5720783,-0.05277778,0.4271727,0.55231106,0.02111111,0.30721426,0.09932116,0.02111111,0.21140124,0.051599223,0.015833333,0.4545577,0.03542327,0.015833333,0.63153726,0.5816566,-0.02111111,0.67543226,0.11301535,-0.02111111,0.59441376,0.04257268,-0.015833333,0.83595186,0.07491561,-0.015833333
0.4,0.49968573,0.960301,0.031666666,0.49968573,0.960301,-0.031666666,0.5584766,1.5705161,0.05277778,0.5584766,1.5705161,-0.05277778,0.43447205,0.5513785,0.02111111,0.3090784,0.099835545,0.02111111,0.21283507,0.053026564,0.015833333,0.45585662,0.034936316,0.015833333,0.63977337,0.57879245,-0.02111111,0.7097013,0.11445272,-0.02111111,0.6331291,0.03920157,-0.015833333,0.8722148,0.08636926,-0.015833333
0.41000000000000003,0.51164216,0.9588089,0.031666666,0.51164216,0.9588089,-0.031666666,0.5712498,1.5689447,0.05277778,0.5712498,1.5689447,-0.05277778,0.44202474,0.55039394,0.02111111,0.31071687,0.10047495,0.02111111,0.21399683,0.054699566,0.015833333,0.45684367,0.034398515,0.015833333,0.6481602,0.5759506,-0.02111111,0.7401767,0.11656651,-0.02111111,0.6678938,0.037190612,-0.015833333,0.90385514,0.09809204,-0.015833333
0.42,0.523627,0.9573054,0.031666666,0.523627,0.9573054,-0.031666666,0.583518,1.5674134,0.05277778,0.583518,1.5674134,-0.05277778,0.4498977,0.54938674,0.02111111,0.31216913,0.1012938,0.02111111,0.2149166,0.056699913,0.015833333,0.45753223,0.03380039,0.015833333,0.6569646,0.573269,-0.02111111,0.766571,0.1187219,-0.02111111,0.6981007,0.03604258,-0.015833333,0.9307045,0.10872148,-0.015833333
