time,force_r_x,force_r_y,cop_r_x,force_l_x,force_l_y,cop_l_x
0.0,-9.071613311767578,19.083337783813477,0.3353921605281082,133.23171997070312,1054.8155517578125,-0.4074957842924185
0.01,13.321081452733798,47.280739780610816,0.28801420083402623,147.01560316112685,1043.3727481717044,-0.4042792383431284
0.02,27.275101189151293,115.03233349908137,0.2992984419992125,160.5888640561422,1019.181254873779,-0.40049689192946897
0.03,29.349818630388388,196.71067869737402,0.309767900695385,173.47988173530013,978.1924358602546,-0.39593920607788924
0.04,16.85003864815558,293.97876113189056,0.3173332262042512,184.02626755988004,918.5395257593109,-0.39023216930956206
0.05,-7.8147868531372175,389.8006542549731,0.3153650305230288,189.3925000511279,838.063078535395,-0.38281553130324786
0.06,-37.162761580781286,497.4191415144488,0.2930420015849743,186.65215336292277,737.5244232891869,-0.37276724726018784
0.07,-67.87341573430551,605.5572149251574,0.2658605308267613,173.59104653017775,618.1379795661294,-0.3595696876853032
0.08,-94.210934168164,695.3320050498916,0.24282079840790605,149.44336055192463,487.28326667982174,-0.34233415132405987
0.09,-114.21991449642147,776.9356537035667,0.22347677144468614,114.41142766110039,359.3677002300274,-0.31842917025243134
0.1,-129.57543482756356,846.8711733076522,0.2073438845194763,72.91255823259709,240.9554036778775,-0.2852857977500106
0.11,-140.5476229853371,906.2143238091455,0.19456745619108565,26.618404400852143,105.39172101896202,-0.24635317555017322
0.12,-145.7411964061214,957.4371209586097,0.18667993106114517,-3.1933974277173,3.329074456779732,0.005883462918532201
0.13,-146.95307815007172,1001.9441230390107,0.18220375439070552,-0.4877453507183977,0.493047621434725,0.0800649375878261
0.14,-145.00378998526267,1038.7543658821428,0.1797357981046691,-0.04836059096471335,0.04899903484939753,0.5835468703202945
0.15,-139.61162276969225,1065.7363315396942,0.177648452919491,0.07172613173480148,-0.0716914779951853,-0.3081437764524517
0.16,-131.89365890829603,1081.8324885290806,0.17573086031676677,0.11729429377109772,-0.11740836028294485,-0.14621436825426024
0.17,-122.92550196032364,1086.3080253103647,0.173119119311593,0.12227070320173314,-0.12240967977963281,-0.11769449454640846
0.18,-112.96495128609995,1078.6850261185207,0.16893210285855223,0.10141993430828318,-0.10154619217191585,-0.1359404724198145
0.19,-103.06015133077354,1059.0114071768962,0.1623294703383543,0.04995499473145651,-0.05005220554862854,-0.3416292932309496
0.2,-93.47300815003959,1031.3319423231228,0.15130870093646928,-0.032642657687022986,0.032597898001492084,0.8164651463880083
0.21,-84.97588574155151,997.4623544359557,0.13604638627224439,-0.1470039990326038,0.14701956626874865,0.30052226250514313
0.22,-76.51559702507164,961.2147638245234,0.12462798282733176,-0.2747017633295942,0.27477749275741514,0.2504927685393561
0.23,-68.68373010792575,928.5873852528271,0.12150347136247677,-0.41402584326965935,0.41415518818343566,0.2439584553766384
0.24,-60.533097694218,897.7504559813161,0.12174172770564365,-0.5655108821043083,0.5656892485518448,0.25091456314649163
0.25,-52.885339123960264,869.3785867392144,0.12281702424471572,-0.7540571744484386,0.7542916286819947,0.264681550116591
0.26,-46.286865582689245,844.8443469352151,0.12429074212515226,-0.9619613258467238,0.9622494608959054,0.28226540096525277
0.27,-40.68762777944949,825.0233829377738,0.1260238283572249,-1.1855969811852116,1.1859326948382078,0.30130316948435204
0.28,-36.061013713331384,810.2073215064336,0.12797923505834205,-1.5493288340685898,1.549753759198083,0.32273998606969134
0.29,-31.97007154240545,800.5611199288976,0.13012543811340252,-1.9868031651519578,1.9873179410788016,0.34463429960493225
0.3,-28.64225768919748,796.070839958281,0.13249972309916894,-2.7394758028835753,2.740163929056772,0.3671665550211855
0.31,-25.23499619825865,795.9655457935698,0.13498414450684476,-3.811574237769888,3.812486168554879,0.3894052246618976
0.32,-21.52207101607719,799.6130484466191,0.13754468381201,-5.821352418463748,5.822690150417564,0.4112682957476962
0.33,-17.41403130302079,807.1162421016029,0.14015615483107957,-8.948102294162858,8.950088692357916,0.43385316488079867
0.34,-12.291962084599612,818.4895655222201,0.1427401962502485,-11.338893651048275,11.341385697220304,0.4599465931711951
0.35000000000000003,-6.21937369948918,833.4845930728337,0.14525324574276463,-9.156705260004088,9.158742059055392,0.49248618833455376
0.36,0.32824764125057954,850.993858937931,0.14771303203692812,-5.748098250569159,5.749402364266317,0.5393866767100285
0.37,7.719572448007116,870.3800302170264,0.14999931580962964,-3.1148385767881503,3.1155725942889485,0.6215851072792627
