time,pelvis_tx,pelvis_ty,pelvis_tilt,hip_flexion_r,knee_angle_r,ankle_angle_r,hip_flexion_l,knee_angle_l,ankle_angle_l
0.0,0.0,0.033365790297938354,-0.040607567299058143,0.3544262465219588,-0.14636231510878306,-0.07180458862252509,-0.22002466054144953,-0.2690266727296127,0.14435320359838058
0.01,0.012,0.029319786127813243,-0.03037262737450868,0.3254545918193742,-0.14655578622606114,-0.030283880805724035,-0.10891858269529933,-0.34452338140426364,0.13242755087829985
0.02,0.024,0.030282848902787804,-0.027899184302347887,0.3026396866238051,0.004406698574658766,-0.06296842163757586,-0.21780584681437853,-0.1941716914180878,0.1349421022061674
0.03,0.036,0.03197534143706588,-0.02101081079400498,0.3602220915373612,-0.27528217766813523,-0.12193904340890169,-0.15713011407676353,-0.38965665983693637,0.1310580282366518
0.04,0.048,0.02639802335971153,-0.019074870107073042,0.27248180924030524,-0.10892225249612703,-0.06062186162932791,-0.16488369516679408,-0.382584778631555,0.06555386193643994
0.05,0.06,0.030842873697193556,-0.016880134567701603,0.3305119818240317,-0.17686223261932216,-0.07077390828651642,-0.18757287417584476,-0.35987301016884043,0.12197767620928407
0.06,0.072,0.029548231737068914,-0.006740908900312193,0.2820578010241788,-0.2569236067492965,-0.06653640635609269,-0.12079196427622688,-0.4606302376216448,0.007822253478263798
0.07,0.084,0.028362994382767973,-0.013252609852302722,0.3231365658051154,-0.23455764529410097,-0.02927662249314795,-0.18459658341793117,-0.560352261549703,0.022513391974260086
0.08,0.096,0.030835003552120266,-0.007272181820337964,0.2904524213352782,-0.2884686805389677,-0.0007691740687982181,-0.04949493065178516,-0.46783515272572523,-0.024856576403496394
0.09,0.108,0.030360531520989276,-0.002635099793742459,0.25842301643850196,-0.23700258013915507,0.012065975771503425,-0.1707452507435538,-0.6794363535034418,-0.13037227002963503
0.1,0.12,0.03133229453249244,-0.006118694514812409,0.34098277934287563,-0.3980068358797887,0.0015572321958915517,-0.014866485474930156,-0.6251759458059211,-0.1849550196001368
0.11,0.132,0.03273623820061311,-0.0008604380798287788,0.2124428647349387,-0.23430939083886762,0.05931659013360098,-0.05788240056801609,-0.7012350688959452,-0.2161630064438624
0.12,0.144,0.03147212760422949,-0.002222855717884257,0.27851299795267603,-0.3276867890959218,0.04404337873327674,-0.055251385838151645,-0.77430246044474,-0.38659045160239247
0.13,0.156,0.03532785707392581,0.002594737235765431,0.2578863883793958,-0.3871315180320336,0.05865882212220657,0.05180905852876878,-0.746703301434302,-0.29059359232011467
0.14,0.168,0.03305591995045845,-0.002194762614341204,0.22210798240489693,-0.26886715429421476,0.07069619096591444,0.017892738034215483,-0.9712355832826308,-0.34088234081238644
0.15,0.18,0.03382012369299069,0.0032652247014632084,0.2141944159665489,-0.32491504487371525,0.11300627844992508,0.033788334269981374,-0.7406616612327785,-0.3717948555401207
